Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,xlmr-CLS,-1.383 (1.000),-1.110 (0.995),-0.185 (0.654),0.648 (0.075),-0.432 (0.748)
contextual,NEW_HT,xlmr-last-hidden-subword-first,0.063 (0.467),-0.012 (0.516),-0.570 (0.855),-0.058 (0.550),0.269 (0.316)
contextual,NEW_HT,xlmr-last-hidden-subword-avg,-0.364 (0.778),0.150 (0.372),-0.573 (0.890),0.237 (0.318),0.428 (0.173)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-first,0.209 (0.402),-0.008 (0.526),-0.665 (0.932),-0.111 (0.597),0.317 (0.320)
contextual,NEW_HT,xlmr-2nd-last-layer-subword-avg,-0.005 (0.503),0.069 (0.431),-0.675 (0.936),-0.395 (0.804),0.387 (0.197)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-first,0.284 (0.347),0.009 (0.455),-0.421 (0.758),0.058 (0.454),0.409 (0.218)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.665 (0.073),-0.114 (0.601),0.762 (0.044),0.038 (0.468),0.811 (0.034)
static,NEW_HT,fasttext,-0.121 (0.603),-0.504 (0.865),0.898 (0.021),0.747 (0.035),0.878 (0.025)
static,NEW_HT,xlmr-layer-0-subword-first,0.230 (0.317),0.125 (0.415),-0.419 (0.807),0.235 (0.305),0.935 (0.014)
static,NEW_HT,xlmr-layer-0-subword-avg,0.956 (0.015),0.141 (0.379),-0.519 (0.873),0.261 (0.297),1.101 (0.004)
