Type,DataSource,Method,weat11,weat12,weat13,weat14,weat15
contextual,NEW_HT,distilbert-CLS,-0.604 (0.908),-0.003 (0.504),-0.014 (0.512),0.731 (0.052),0.324 (0.242)
contextual,NEW_HT,distilbert-last-hidden-subword-first,0.633 (0.080),-0.892 (0.978),1.274 (0.000),0.968 (0.014),1.396 (0.000)
contextual,NEW_HT,distilbert-last-hidden-subword-avg,0.628 (0.084),-0.299 (0.736),0.545 (0.117),1.110 (0.004),1.090 (0.002)
contextual,NEW_HT,distilbert-2nd-last-layer-subword-first,0.555 (0.113),-0.765 (0.956),1.292 (0.000),0.941 (0.017),1.447 (0.000)
contextual,NEW_HT,distilbert-2nd-last-layer-subword-avg,0.776 (0.040),-0.207 (0.669),0.663 (0.071),1.088 (0.005),1.198 (0.000)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-first,1.387 (0.001),-0.754 (0.954),1.003 (0.001),0.691 (0.062),1.107 (0.001)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,1.361 (0.000),-0.167 (0.639),0.644 (0.076),0.768 (0.043),0.893 (0.021)
static,NEW_HT,fasttext,-0.646 (0.925),-0.854 (0.973),-0.021 (0.519),0.694 (0.062),0.749 (0.047)
static,NEW_HT,distilbert-layer-0-subword-first,1.328 (0.001),-0.776 (0.958),0.451 (0.178),0.898 (0.020),0.837 (0.018)
static,NEW_HT,distilbert-layer-0-subword-avg,1.268 (0.001),-0.447 (0.835),0.412 (0.184),0.811 (0.034),0.804 (0.035)
