Type,DataSource,Method,weat1,weat2,weat6,weat7,weat8,weat9
contextual,ALL,mono-bert-CLS,0.372 (0.073),0.303 (0.115),1.201 (0.005),0.237 (0.319),0.250 (0.309),-0.878 (0.957)
contextual,ALL,mono-bert-last-hidden-subword-first,0.520 (0.020),0.168 (0.259),1.212 (0.005),0.130 (0.400),-0.185 (0.641),1.073 (0.024)
contextual,ALL,mono-bert-last-hidden-subword-avg,0.232 (0.184),0.069 (0.395),1.271 (0.003),0.497 (0.161),0.264 (0.307),1.039 (0.032)
contextual,ALL,mono-bert-2nd-last-layer-subword-first,0.513 (0.021),0.163 (0.260),1.115 (0.010),-0.002 (0.502),-0.246 (0.687),1.049 (0.030)
contextual,ALL,mono-bert-2nd-last-layer-subword-avg,0.267 (0.151),-0.030 (0.546),1.122 (0.009),0.275 (0.292),0.270 (0.297),1.005 (0.039)
contextual,ALL,mono-bert-avg-all-hidden-subword-first,0.404 (0.057),0.191 (0.226),1.031 (0.018),-0.115 (0.590),-0.446 (0.817),1.252 (0.011)
contextual,ALL,mono-bert-avg-all-hidden-subword-avg,0.204 (0.216),-0.243 (0.829),1.035 (0.018),0.165 (0.370),0.127 (0.400),1.345 (0.004)
contextual,GT,mono-bert-CLS,0.495 (0.036),0.373 (0.094),1.262 (0.003),0.498 (0.170),0.132 (0.441),-1.197 (0.986)
contextual,GT,mono-bert-last-hidden-subword-first,0.577 (0.020),0.135 (0.321),0.723 (0.077),0.425 (0.209),-0.104 (0.580),0.599 (0.155)
contextual,GT,mono-bert-last-hidden-subword-avg,0.365 (0.101),0.079 (0.393),1.361 (0.002),0.649 (0.106),0.117 (0.412),0.006 (0.492)
contextual,GT,mono-bert-2nd-last-layer-subword-first,0.797 (0.002),0.087 (0.379),1.247 (0.005),0.460 (0.189),-0.030 (0.522),0.660 (0.137)
contextual,GT,mono-bert-2nd-last-layer-subword-avg,0.508 (0.035),-0.017 (0.526),1.534 (0.000),0.670 (0.098),0.282 (0.296),0.218 (0.363)
contextual,GT,mono-bert-avg-all-hidden-subword-first,0.291 (0.156),0.114 (0.346),0.425 (0.210),0.139 (0.394),-0.074 (0.557),0.847 (0.058)
contextual,GT,mono-bert-avg-all-hidden-subword-avg,0.317 (0.135),-0.227 (0.787),1.117 (0.010),0.288 (0.289),0.318 (0.269),-0.056 (0.541)
contextual,HT,mono-bert-CLS,0.348 (0.111),0.426 (0.066),1.201 (0.005),0.212 (0.342),0.132 (0.441),-0.878 (0.957)
contextual,HT,mono-bert-last-hidden-subword-first,0.410 (0.073),0.118 (0.343),1.212 (0.005),0.311 (0.276),-0.104 (0.580),1.073 (0.024)
contextual,HT,mono-bert-last-hidden-subword-avg,0.193 (0.252),0.161 (0.289),1.271 (0.003),0.507 (0.165),0.117 (0.412),1.039 (0.032)
contextual,HT,mono-bert-2nd-last-layer-subword-first,0.377 (0.092),0.051 (0.429),1.115 (0.010),0.331 (0.263),-0.030 (0.522),1.049 (0.030)
contextual,HT,mono-bert-2nd-last-layer-subword-avg,0.285 (0.163),0.062 (0.415),1.122 (0.009),0.515 (0.161),0.282 (0.296),1.005 (0.039)
contextual,HT,mono-bert-avg-all-hidden-subword-first,0.218 (0.224),0.043 (0.440),1.031 (0.018),0.165 (0.374),-0.074 (0.557),1.252 (0.011)
contextual,HT,mono-bert-avg-all-hidden-subword-avg,0.342 (0.118),-0.139 (0.687),1.035 (0.018),0.321 (0.267),0.318 (0.269),1.345 (0.004)
static,ALL,fasttext,1.077 (0.000),0.738 (0.001),1.168 (0.007),-0.231 (0.635),-0.365 (0.723),-0.682 (0.874)
static,ALL,mono-bert-layer-0-subword-first,0.087 (0.367),0.195 (0.221),1.049 (0.017),0.004 (0.497),-0.400 (0.789),0.903 (0.060)
static,ALL,mono-bert-layer-0-subword-avg,0.089 (0.366),-0.303 (0.882),1.021 (0.019),0.266 (0.298),0.239 (0.316),1.158 (0.019)
static,GT,fasttext,1.236 (0.000),0.637 (0.012),0.404 (0.222),0.065 (0.449),-0.543 (0.835),-0.980 (0.958)
static,GT,mono-bert-layer-0-subword-first,-0.163 (0.718),-0.118 (0.659),-0.529 (0.850),0.118 (0.410),-0.141 (0.605),0.188 (0.378)
static,GT,mono-bert-layer-0-subword-avg,0.175 (0.276),-0.329 (0.876),0.665 (0.096),0.197 (0.354),0.364 (0.242),-0.751 (0.897)
static,HT,fasttext,1.189 (0.000),0.847 (0.001),1.168 (0.007),0.022 (0.483),-0.543 (0.835),-0.682 (0.874)
static,HT,mono-bert-layer-0-subword-first,0.025 (0.466),-0.036 (0.551),1.049 (0.017),0.254 (0.312),-0.141 (0.605),0.903 (0.060)
static,HT,mono-bert-layer-0-subword-avg,0.254 (0.189),-0.204 (0.763),1.021 (0.019),0.335 (0.260),0.364 (0.242),1.158 (0.019)
