Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.366 (0.788),0.669 (0.071)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.514 (0.871),0.671 (0.070)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.593 (0.904),0.351 (0.222)
