Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.296 (0.739),0.176 (0.352)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.044 (0.538),-0.340 (0.750)
static,NEW_HT,distilbert-layer-0-subword-avg,0.088 (0.425),-0.349 (0.757)
