Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,0.258 (0.287),0.107 (0.399)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.050 (0.546),0.159 (0.369)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.162 (0.640),0.124 (0.400)
