Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,0.852 (0.027),-0.302 (0.709)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,0.857 (0.027),-0.292 (0.709)
static,NEW_HT,distilbert-layer-0-subword-avg,0.861 (0.005),-0.293 (0.709)
