Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.294 (0.529),-0.389 (0.702)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.345 (0.617),-0.398 (0.730)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.283 (0.517),-0.375 (0.689)
