Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.873 (0.992),0.732 (0.046)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.731 (0.968),0.754 (0.041)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.814 (0.991),0.679 (0.060)
