Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.955 (0.986),0.180 (0.403)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.940 (0.984),0.149 (0.400)
static,NEW_HT,distilbert-layer-0-subword-avg,-1.061 (0.997),0.170 (0.390)
