Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,1.246 (0.001),-0.727 (0.951)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,1.225 (0.002),-0.758 (0.958)
static,NEW_HT,distilbert-layer-0-subword-avg,1.070 (0.007),-0.683 (0.939)
