Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.312 (0.707),-0.071 (0.565)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.654 (0.941),0.153 (0.375)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.658 (0.941),0.250 (0.306)
