Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.260 (0.710),0.409 (0.187)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,0.254 (0.294),0.402 (0.193)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.284 (0.722),0.772 (0.041)
