Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,0.447 (0.184),-0.117 (0.593)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,0.483 (0.162),-0.022 (0.516)
static,NEW_HT,distilbert-layer-0-subword-avg,0.544 (0.126),-0.083 (0.570)
