Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,0.870 (0.024),0.505 (0.140)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,0.918 (0.018),-0.015 (0.509)
static,NEW_HT,distilbert-layer-0-subword-avg,0.529 (0.134),-0.853 (0.974)
