Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,distilbert-last-hidden-subword-avg,-0.795 (0.951),0.348 (0.302)
contextual,NEW_HT,distilbert-avg-all-hidden-subword-avg,-0.739 (0.935),0.204 (0.367)
static,NEW_HT,distilbert-layer-0-subword-avg,-0.782 (0.950),0.219 (0.368)
