Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.728 (0.052),-0.042 (0.539)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.800 (0.036),-0.194 (0.682)
static,NEW_HT,xlmr-layer-0-subword-avg,0.075 (0.435),-0.056 (0.550)
