Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,-0.241 (0.698),0.334 (0.234)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.350 (0.222),0.114 (0.404)
static,NEW_HT,xlmr-layer-0-subword-avg,0.908 (0.020),-0.056 (0.549)
