Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.004 (0.496),-0.058 (0.544)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.329 (0.235),0.342 (0.233)
static,NEW_HT,xlmr-layer-0-subword-avg,0.182 (0.347),0.501 (0.137)
