Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.905 (0.020),-0.566 (0.895)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.125 (0.401),-0.484 (0.844)
static,NEW_HT,xlmr-layer-0-subword-avg,-0.992 (0.988),-0.305 (0.747)
