Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,-0.094 (0.580),0.483 (0.153)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,-0.450 (0.839),0.668 (0.070)
static,NEW_HT,xlmr-layer-0-subword-avg,-0.611 (0.912),-0.156 (0.627)
