Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,-1.586 (1.000),-0.850 (0.974)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,-1.563 (1.000),-0.186 (0.656)
static,NEW_HT,xlmr-layer-0-subword-avg,-0.604 (0.892),0.432 (0.171)
