Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.331 (0.237),-0.234 (0.694)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,0.397 (0.195),-0.295 (0.738)
static,NEW_HT,xlmr-layer-0-subword-avg,0.636 (0.080),0.475 (0.149)
