Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,-0.379 (0.797),-0.517 (0.873)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,-0.409 (0.815),-0.333 (0.770)
static,NEW_HT,xlmr-layer-0-subword-avg,0.103 (0.412),-0.331 (0.769)
