Type,DataSource,Method,weat12b,weat13b
contextual,NEW_HT,xlmr-last-hidden-subword-avg,0.389 (0.199),0.026 (0.475)
contextual,NEW_HT,xlmr-avg-all-hidden-subword-avg,-0.014 (0.511),0.123 (0.396)
static,NEW_HT,xlmr-layer-0-subword-avg,-0.635 (0.919),0.171 (0.355)
