strategy,test,target1,target2,attr1,attr2
bert_0_sws_avg,weat1,0.030275553468746854,0.04556904980681977,0.03385926002163869,0.03527779363095579
bert_0_sws_avg,weat2,0.044447140399878134,0.029120202092980482,0.03385926002163869,0.03527779363095579
bert_0_sws_avg,weat6,0.02993662343226048,0.02246194169515012,0.014948166995536142,0.0056046083556985015
bert_0_sws_avg,weat7,0.030298685214914325,0.022076699400043386,0.03705011820041572,0.03252958326553465
bert_0_sws_avg,weat8,0.03251951387562098,0.022076699400043386,0.03705011820041572,0.03252958326553465
bert_0_sws_avg,weat9,0.036048288744040695,0.023301811042498368,0.02383708370676502,0.00880807825362898
bert_0_sws_first,weat1,0.024353924835352137,0.028541715776806115,0.016780022844707348,0.015427437876973937
bert_0_sws_first,weat2,0.027371478948876815,0.024217487976930595,0.016780022844707348,0.015427437876973937
bert_0_sws_first,weat6,0.008518139512645401,0.01829480128956955,0.014948166995536142,0.00442122666248809
bert_0_sws_first,weat7,0.030298685214914325,0.02202988513821732,0.03705011820041572,0.03085664069869471
bert_0_sws_first,weat8,0.03226830059516593,0.02202988513821732,0.03705011820041572,0.03085664069869471
bert_0_sws_first,weat9,0.022752307072694683,0.04464445834741573,0.02490020119346738,0.012085551181850193
bert_2nd_last_sws_avg,weat1,0.00042518912834018334,0.0008780464188712095,0.0009559660573760318,0.0009128846321997311
bert_2nd_last_sws_avg,weat2,0.0007239124891602787,0.0008656865206264898,0.0009559660573760318,0.0009128846321997311
bert_2nd_last_sws_avg,weat6,0.0008480034719202408,0.0010359333315162096,0.00017971843791913698,8.727974462128666e-05
bert_2nd_last_sws_avg,weat7,8.634974989374166e-05,0.0019181628423784664,0.0004234204828662244,0.0006210193498594419
bert_2nd_last_sws_avg,weat8,0.0019899406991334815,0.0019181628423784664,0.0004234204828662244,0.0006210193498594419
bert_2nd_last_sws_avg,weat9,0.0009395419238760543,0.0013435637836940605,0.0008752503217767151,0.00017852139796370724
bert_2nd_last_sws_first,weat1,0.000675076447909056,0.0014371945467547842,0.0014669776706741878,0.0017238650193128905
bert_2nd_last_sws_first,weat2,0.0015191090109987425,0.0014092194321779362,0.0014669776706741878,0.0017238650193128905
bert_2nd_last_sws_first,weat6,0.0007182515574053461,0.0012851387326219344,0.00017971843791913698,8.152412877280331e-05
bert_2nd_last_sws_first,weat7,8.634974989374166e-05,0.0030037512240685157,0.0004234204828662244,0.0013069822592803775
bert_2nd_last_sws_first,weat8,0.001672007190329787,0.0030037512240685157,0.0004234204828662244,0.0013069822592803775
bert_2nd_last_sws_first,weat9,0.0020243433642498656,0.004717651709220238,0.0012811937002106927,7.90517082991947e-05
bert_all_sws_avg,weat1,0.006196651668216091,0.010083721665401939,0.010611432726208826,0.009588920588587084
bert_all_sws_avg,weat2,0.009975474051328195,0.009523264549251599,0.010611432726208826,0.009588920588587084
bert_all_sws_avg,weat6,0.010634739952909197,0.01092892866571923,0.0029759579972094114,0.0019680427188804067
bert_all_sws_avg,weat7,0.0031086706267591307,0.017122684765996692,0.007229637890163774,0.008137248141425985
bert_all_sws_avg,weat8,0.02387329032651363,0.017122684765996692,0.007229637890163774,0.008137248141425985
bert_all_sws_avg,weat9,0.009597034079987823,0.011620284506719937,0.008109126657949939,0.002400508604236596
bert_all_sws_first,weat1,0.006596648118976465,0.01097175578494104,0.009750171231587874,0.010223160878394335
bert_all_sws_first,weat2,0.014363865259811688,0.009911787593214273,0.009750171231587874,0.010223160878394335
bert_all_sws_first,weat6,0.004690761229978186,0.010785854715537991,0.0029759579972094114,0.0016894002996223898
bert_all_sws_first,weat7,0.0031086706267591307,0.021345078267878344,0.007229637890163774,0.010460302918414715
bert_all_sws_first,weat8,0.02222893119853716,0.021345078267878344,0.007229637890163774,0.010460302918414715
bert_all_sws_first,weat9,0.013191513610548213,0.029760657762067967,0.008481404852148808,0.0023073786914503853
bert_last_CLS,weat1,0.00019235206825163383,0.0003691816040896634,0.0011957285356826877,0.000399078108955794
bert_last_CLS,weat2,0.0012216063320922167,0.0002839025036129858,0.0011957285356826877,0.000399078108955794
bert_last_CLS,weat6,9.490679969529901e-05,0.0003962586570561872,9.933158555026229e-05,4.041969648770655e-05
bert_last_CLS,weat7,0.0004713065398255829,0.0008202238563971963,0.00023197754841527426,0.00015707189466236551
bert_last_CLS,weat8,0.0015590297081225972,0.0008202238563971963,0.00023197754841527426,0.00015707189466236551
bert_last_CLS,weat9,0.00017460726867621703,0.00010452352980127206,0.0003687987959293427,6.271666973323027e-05
bert_last_sws_avg,weat1,0.007709935004171125,0.017408470114984382,0.016659446132881662,0.01472678724761994
bert_last_sws_avg,weat2,0.017457324722353305,0.013424035485438173,0.016659446132881662,0.01472678724761994
bert_last_sws_avg,weat6,0.013538601067621349,0.014961706338933132,0.003816269958899448,0.0020412983591961875
bert_last_sws_avg,weat7,0.0022228697872569755,0.030345539991570754,0.010589657781093663,0.01152914632716826
bert_last_sws_avg,weat8,0.044041481221373815,0.030345539991570754,0.010589657781093663,0.01152914632716826
bert_last_sws_avg,weat9,0.015920330799197132,0.016230319790365825,0.014605197354311282,0.005387731459972064
bert_last_sws_first,weat1,0.01083788544423423,0.01854617603235956,0.019883848002165746,0.016609109777237424
bert_last_sws_first,weat2,0.019126419034257304,0.016862931251817193,0.019883848002165746,0.016609109777237424
bert_last_sws_first,weat6,0.009318211502309968,0.014758241680502623,0.003816269958899448,0.0023000394010817397
bert_last_sws_first,weat7,0.0022228697872569755,0.038026577614535845,0.010589657781093663,0.0162122249523863
bert_last_sws_first,weat8,0.0387724603294895,0.038026577614535845,0.010589657781093663,0.0162122249523863
bert_last_sws_first,weat9,0.020253176328932462,0.04054760399231246,0.021484404520763476,0.0033240622118166654
